decision_date,active,excluded,unscorable,eligible,qualifying,n_book,S_p50,S_p90,S_max,in_walkforward_window
2023-12-01,2,2,0,0,False,0,,,,False
2024-01-01,2,2,0,0,False,0,,,,False
2024-02-01,5,5,0,0,False,0,,,,False
2024-03-01,6,5,0,0,False,0,,,,False
2024-04-01,6,6,0,0,False,0,,,,False
2024-05-01,8,7,0,0,False,0,,,,False
2024-06-01,10,9,0,0,False,0,,,,False
2024-07-01,8,8,0,0,False,0,,,,False
2024-08-01,9,8,0,0,False,0,,,,False
2024-09-01,9,3,0,0,False,0,,,,False
2024-10-01,9,5,0,0,False,0,,,,False
2024-11-01,9,5,0,1,False,1,0.500000,0.500000,0.500000,False
2024-12-01,10,5,0,0,False,0,,,,False
2025-01-01,14,7,0,2,False,1,0.500000,0.550000,0.550000,False
2025-02-01,17,10,0,2,False,1,0.500000,0.550000,0.550000,False
2025-03-01,22,17,0,2,False,1,0.500000,0.550000,0.550000,False
2025-04-01,23,18,0,1,False,1,0.500000,0.500000,0.500000,False
2025-05-01,24,17,0,1,False,1,0.500000,0.500000,0.500000,False
2025-06-01,24,17,0,1,False,1,0.500000,0.500000,0.500000,False
2025-07-01,26,18,0,1,False,1,0.500000,0.500000,0.500000,False
2025-08-01,28,20,0,2,False,1,0.500000,0.650000,0.650000,False
2025-09-01,34,22,0,3,False,1,0.600000,0.600000,0.600000,False
2025-10-01,40,27,0,4,False,1,0.525000,0.725000,0.725000,False
2025-11-01,58,44,0,2,False,1,0.500000,0.650000,0.650000,False
2025-12-01,68,57,0,2,False,1,0.500000,0.550000,0.550000,False
2026-01-01,75,58,0,8,False,2,0.600000,0.787500,0.787500,False
2026-02-01,83,63,0,8,False,2,0.531250,0.750000,0.750000,False
2026-03-01,103,69,0,10,False,2,0.480000,0.800000,0.800000,False
2026-04-01,119,87,0,11,False,2,0.600000,0.709091,0.727273,False
2026-05-01,128,88,0,18,False,4,0.527778,0.683333,0.750000,False
2026-06-01,156,114,0,13,False,3,0.484615,0.715385,0.746154,False
2026-07-01,222,179,0,20,False,4,0.510000,0.715000,0.715000,False
