decision_date,active,fills_fetch_incomplete,truncated_coin_traded_in_window,no_equity_history_or_anchor,equity_anchor_below_1000,below_eligibility_floor,eligible
2023-12-01,2,0,0,2,0,0,0
2024-01-01,2,0,0,2,0,0,0
2024-02-01,5,0,1,2,2,0,0
2024-03-01,6,0,1,2,2,1,0
2024-04-01,6,0,1,2,3,0,0
2024-05-01,8,0,2,2,3,1,0
2024-06-01,10,0,2,3,4,1,0
2024-07-01,8,0,1,4,3,0,0
2024-08-01,9,0,1,3,4,1,0
2024-09-01,9,0,0,0,3,6,0
2024-10-01,9,0,1,1,3,4,0
2024-11-01,9,0,2,2,1,3,1
2024-12-01,10,0,2,1,2,5,0
2025-01-01,14,0,2,3,2,5,2
2025-02-01,17,0,2,5,3,5,2
2025-03-01,22,0,5,6,6,3,2
2025-04-01,23,0,5,7,6,4,1
2025-05-01,24,0,3,3,11,6,1
2025-06-01,24,0,5,3,9,6,1
2025-07-01,26,0,4,3,11,7,1
2025-08-01,29,0,5,7,9,6,2
2025-09-01,35,0,7,7,8,10,3
2025-10-01,41,0,10,12,6,9,4
2025-11-01,59,0,16,21,8,12,2
2025-12-01,68,0,20,23,14,9,2
2026-01-01,77,0,19,16,25,9,8
2026-02-01,84,0,20,19,25,12,8
2026-03-01,103,0,23,27,19,24,10
2026-04-01,119,0,24,42,21,21,11
2026-05-01,128,0,25,43,20,22,18
2026-06-01,157,0,34,43,38,29,13
2026-07-01,223,0,38,89,53,23,20
