wallet,trades,net_pnl_usd,win_rate,profit_factor,max_dd_usd,max_dd_pct,avg_hold
0x901a8ca63286105e469d44a7a58c64591c2f2978,243,15.67,0.436,1.452,23.61,0.24,1.3d
0xd9369e373ddf2165419fb7de21ab0647f0d899bb,11,-40.46,0.455,0.661,109.67,1.10,3.3d
0xdc4e061c2afaf7341740700408ea27b3f59b5566,43,-65.30,0.395,0.510,131.80,1.32,2.4d
0xe26b886c9b85b794d869d058ec0aa33633e241b2,156,-252.26,0.359,0.686,370.95,3.71,1.8d
0x605a6121ac497d25354e9b17b30c685ed21262f0,316,-719.08,0.358,0.650,1173.99,11.74,6.2d
0x325edd95bb016c36027ce3b9f7595af7094a9564,15833,1105.14,0.242,1.735,231.01,2.31,1.5d
0xbcef61fc312646b0e212c007a81d010b5a197931,2117,613.87,0.626,1.514,271.44,2.71,12.3d
0x212444e5ace9d58706f53557a10bb69dee5d68d9,5751,-5246.36,0.464,0.923,13610.32,136.10,6.1d
0x5ce74ca7fdfc77a16fc1feb3f58c7c948a623a28,3583,-3128.28,0.424,0.842,3670.79,36.71,5.5d
0x320a8f6f4f089aa7d1e23396573c673be5cf588c,265,-1987.35,0.343,0.736,3610.82,36.11,11.1d
