signal_bucket,entry_time,exit_time,side,entry_price,exit_price,qty,gross_pnl_usd,fees_usd,net_pnl_usd,hold_s
2026-06-17T12:00:00+00:00,2026-06-17T14:00:00+00:00,2026-06-17T20:00:00+00:00,long,65303.64,64253.86,0.01531308,-16.0753,0.8928,-16.9681,21600
2026-06-17T19:00:00+00:00,2026-06-17T21:00:00+00:00,2026-06-18T03:00:00+00:00,long,64419.19,64619.67,0.01552332,3.1121,0.9014,2.2107,21600
2026-06-18T10:00:00+00:00,2026-06-18T12:00:00+00:00,2026-06-18T18:00:00+00:00,long,63983.98,62547.71,0.01562891,-22.4473,0.8899,-23.3372,21600
2026-06-18T16:00:00+00:00,2026-06-18T18:00:00+00:00,2026-06-19T00:00:00+00:00,long,62610.29,62904.53,0.01597182,4.6996,0.9021,3.7975,21600
2026-06-19T00:00:00+00:00,2026-06-19T02:00:00+00:00,2026-06-19T08:00:00+00:00,long,63029.50,62566.70,0.01586559,-7.3426,0.8967,-8.2393,21600
2026-06-19T20:00:00+00:00,2026-06-19T22:00:00+00:00,2026-06-20T04:00:00+00:00,long,63075.52,63412.28,0.01585401,5.3389,0.9024,4.4365,21600
2026-06-20T16:00:00+00:00,2026-06-20T18:00:00+00:00,2026-06-21T00:00:00+00:00,long,63846.91,64243.86,0.01566247,6.2173,0.9028,5.3145,21600
2026-06-22T14:00:00+00:00,2026-06-22T16:00:00+00:00,2026-06-22T22:00:00+00:00,long,64834.40,64265.85,0.01542391,-8.7693,0.8961,-9.6653,21600
2026-06-22T23:00:00+00:00,2026-06-23T01:00:00+00:00,2026-06-23T07:00:00+00:00,long,64170.07,62868.55,0.01558359,-20.2823,0.8909,-21.1732,21600
2026-06-24T18:00:00+00:00,2026-06-24T20:00:00+00:00,2026-06-25T02:00:00+00:00,long,59971.97,60865.55,0.01667446,14.9000,0.9067,13.9933,21600
2026-06-25T20:00:00+00:00,2026-06-25T22:00:00+00:00,2026-06-26T04:00:00+00:00,long,60210.09,59993.99,0.01660851,-3.5891,0.8984,-4.4875,21600
2026-06-26T04:00:00+00:00,2026-06-26T06:00:00+00:00,2026-06-26T12:00:00+00:00,long,59949.96,59358.31,0.01668058,-9.8691,0.8956,-10.7647,21600
2026-06-29T01:00:00+00:00,2026-06-29T03:00:00+00:00,2026-06-29T09:00:00+00:00,long,59751.86,59777.10,0.01673588,0.4223,0.9002,-0.4779,21600
2026-06-29T10:00:00+00:00,2026-06-29T12:00:00+00:00,2026-06-29T18:00:00+00:00,long,59964.97,60355.81,0.01667640,6.5178,0.9029,5.6149,21600
2026-06-29T16:00:00+00:00,2026-06-29T18:00:00+00:00,2026-06-30T00:00:00+00:00,long,60416.19,60197.89,0.01655185,-3.6134,0.8984,-4.5118,21600
2026-06-29T22:00:00+00:00,2026-06-30T00:00:00+00:00,2026-06-30T06:00:00+00:00,long,60258.11,59597.19,0.01659528,-10.9683,0.8951,-11.8633,21600
2026-06-30T13:00:00+00:00,2026-06-30T15:00:00+00:00,2026-06-30T21:00:00+00:00,long,58496.23,58675.65,0.01709512,3.0671,0.9014,2.1657,21600
2026-07-02T02:00:00+00:00,2026-07-02T04:00:00+00:00,2026-07-02T10:00:00+00:00,long,61098.53,61157.41,0.01636700,0.9636,0.9004,0.0631,21600
2026-07-02T09:00:00+00:00,2026-07-02T11:00:00+00:00,2026-07-02T17:00:00+00:00,long,61297.63,61653.16,0.01631384,5.8000,0.9026,4.8974,21600
2026-07-03T18:00:00+00:00,2026-07-03T20:00:00+00:00,2026-07-04T02:00:00+00:00,long,62241.10,62422.77,0.01606655,2.9188,0.9013,2.0175,21600
2026-07-05T17:00:00+00:00,2026-07-05T19:00:00+00:00,2026-07-06T01:00:00+00:00,long,62850.41,63725.12,0.01591080,13.9174,0.9063,13.0111,21600
2026-07-07T16:00:00+00:00,2026-07-07T18:00:00+00:00,2026-07-08T00:00:00+00:00,long,64226.10,63323.32,0.01556999,-14.0562,0.8937,-14.9499,21600
2026-07-08T17:00:00+00:00,2026-07-08T19:00:00+00:00,2026-07-09T01:00:00+00:00,long,62205.09,62086.94,0.01607586,-1.8993,0.8991,-2.7984,21600
2026-07-09T03:00:00+00:00,2026-07-09T05:00:00+00:00,2026-07-09T11:00:00+00:00,long,62482.23,62746.61,0.01600455,4.2314,0.9019,3.3295,21600
2026-07-09T11:00:00+00:00,2026-07-09T13:00:00+00:00,2026-07-09T19:00:00+00:00,long,62636.30,63185.39,0.01596518,8.7663,0.9039,7.8624,21600
2026-07-09T19:00:00+00:00,2026-07-09T21:00:00+00:00,2026-07-10T03:00:00+00:00,long,63340.65,63926.02,0.01578765,9.2416,0.9042,8.3374,21600
2026-07-11T12:00:00+00:00,2026-07-11T14:00:00+00:00,2026-07-11T20:00:00+00:00,long,64263.12,64254.86,0.01556103,-0.1285,0.8999,-1.0285,21600
2026-07-13T06:00:00+00:00,2026-07-13T08:00:00+00:00,2026-07-13T14:00:00+00:00,long,63034.50,62295.84,0.01586433,-11.7184,0.8947,-12.6132,21600
